pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019/3/23 20:21,2019/3/23 20:27,1,1.6,7,2.15,0,12.95,yellow,credit card,Lenox Hill West,UN/Turtle Bay South,Manhattan,Manhattan
2019/3/4 16:11,2019/3/4 16:19,1,0.79,5,0,0,9.3,yellow,cash,Upper West Side South,Upper West Side South,Manhattan,Manhattan
2019/3/27 17:53,2019/3/27 18:00,1,1.37,7.5,2.36,0,14.16,yellow,credit card,Alphabet City,West Village,Manhattan,Manhattan
2019/3/10 1:23,2019/3/10 1:49,1,7.7,27,6.15,0,36.95,yellow,credit card,Hudson Sq,Yorkville West,Manhattan,Manhattan
2019/3/30 13:27,2019/3/30 13:37,3,2.16,9,1.1,0,13.4,yellow,credit card,Midtown East,Yorkville West,Manhattan,Manhattan
2019/3/11 10:37,2019/3/11 10:47,1,0.49,7.5,2.16,0,12.96,yellow,credit card,Times Sq/Theatre District,Midtown East,Manhattan,Manhattan
2019/3/26 21:07,2019/3/26 21:17,1,3.65,13,2,0,18.8,yellow,credit card,Battery Park City,Two Bridges/Seward Park,Manhattan,Manhattan
2019/3/22 12:47,2019/3/22 12:58,0,1.4,8.5,0,0,11.8,yellow,,Murray Hill,Flatiron,Manhattan,Manhattan
2019/3/23 11:48,2019/3/23 12:06,1,3.63,15,1,0,19.3,yellow,credit card,East Harlem South,Midtown Center,Manhattan,Manhattan
2019/3/8 16:18,2019/3/8 16:26,1,1.52,8,1,0,13.3,yellow,credit card,Lincoln Square East,Central Park,Manhattan,Manhattan
2019/3/16 10:02,2019/3/16 10:22,1,3.9,17,0,0,17.8,yellow,cash,LaGuardia Airport,Astoria,Queens,Queens
2019/3/20 19:39,2019/3/20 19:45,1,1.53,6.5,2.16,0,12.96,yellow,credit card,Upper West Side South,Manhattan Valley,Manhattan,Manhattan
2019/3/18 21:27,2019/3/18 21:34,1,1.05,6.5,1,0,11.3,yellow,credit card,Murray Hill,Midtown Center,Manhattan,Manhattan
2019/3/19 7:55,2019/3/19 8:09,1,1.75,10.5,0,0,13.8,yellow,cash,Lincoln Square West,Times Sq/Theatre District,Manhattan,Manhattan
2019/3/27 12:13,2019/3/27 12:25,0,2.9,11.5,0,0,14.8,yellow,cash,Financial District North,Two Bridges/Seward Park,Manhattan,Manhattan
2019/3/16 17:53,2019/3/16 18:13,3,2.09,13.5,0,0,16.8,yellow,cash,Upper West Side North,Clinton East,Manhattan,Manhattan
2019/3/15 12:36,2019/3/15 12:54,1,2.12,13,0,0,16.3,yellow,cash,East Chelsea,Meatpacking/West Village West,Manhattan,Manhattan
2019/3/23 20:50,2019/3/23 21:02,1,2.6,10.5,2,0,16.3,yellow,credit card,Midtown Center,East Harlem South,Manhattan,Manhattan
2019/3/27 6:28,2019/3/27 6:38,1,2.18,9.5,1.92,0,14.72,yellow,credit card,Gramercy,Midtown Center,Manhattan,Manhattan
2019/3/25 22:04,2019/3/25 22:11,6,1.08,6.5,1.08,0,11.38,yellow,credit card,East Chelsea,East Chelsea,Manhattan,Manhattan
2019/3/21 3:37,2019/3/21 3:44,1,1.07,6.5,1.54,0,11.84,yellow,credit card,Penn Station/Madison Sq West,Kips Bay,Manhattan,Manhattan
2019/3/25 23:05,2019/3/25 23:11,1,0.8,5.5,2.3,0,11.6,yellow,credit card,Penn Station/Madison Sq West,Murray Hill,Manhattan,Manhattan
2019/3/28 17:20,2019/3/28 17:55,1,9.82,31.5,8.31,5.76,49.87,yellow,credit card,LaGuardia Airport,Sutton Place/Turtle Bay North,Queens,Manhattan
2019/3/4 12:15,2019/3/4 12:26,5,1.09,8.5,2.36,0,14.16,yellow,credit card,Sutton Place/Turtle Bay North,Midtown North,Manhattan,Manhattan
2019/3/24 9:53,2019/3/24 10:01,5,2.89,9.5,3.84,0,16.64,yellow,credit card,Lenox Hill West,Gramercy,Manhattan,Manhattan
2019/3/25 8:01,2019/3/25 8:13,1,1.9,10,3,0,16.3,yellow,credit card,Lincoln Square East,Midtown South,Manhattan,Manhattan
2019/3/3 2:45,2019/3/3 3:02,1,3.35,13.5,0,0,17.3,yellow,cash,West Chelsea/Hudson Yards,Seaport,Manhattan,Manhattan
2019/3/16 20:30,2019/3/16 20:46,1,2.6,12.5,3.26,0,19.56,yellow,credit card,Clinton East,Lenox Hill West,Manhattan,Manhattan
2019/3/20 12:25,2019/3/20 12:45,1,4.71,17.5,0,0,18.3,yellow,credit card,Clinton West,East Harlem North,Manhattan,Manhattan
2019/3/6 8:09,2019/3/6 8:27,1,0.92,12,0,0,15.3,yellow,cash,UN/Turtle Bay South,Garment District,Manhattan,Manhattan
2019/3/10 15:14,2019/3/10 15:20,1,1.84,7,2.06,0,12.36,yellow,credit card,Lenox Hill West,East Harlem South,Manhattan,Manhattan
2019/3/1 2:55,2019/3/1 2:57,3,0.74,4,0,0,7.8,yellow,cash,Clinton East,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019/3/17 19:24,2019/3/17 19:29,1,0.62,5.5,1,0,9.8,yellow,credit card,Midtown Center,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019/3/20 22:29,2019/3/20 22:32,2,0.65,4.5,2.49,0,10.79,yellow,credit card,Midtown South,Midtown Center,Manhattan,Manhattan
2019/3/21 10:48,2019/3/21 10:57,2,0.87,7.5,2.16,0,12.96,yellow,credit card,Midtown North,Clinton West,Manhattan,Manhattan
2019/3/1 17:39,2019/3/1 18:04,1,3.06,17,4.26,0,25.56,yellow,credit card,West Chelsea/Hudson Yards,Lenox Hill East,Manhattan,Manhattan
2019/3/22 17:28,2019/3/22 17:33,1,1.1,5.5,0,0,9.8,yellow,cash,Garment District,Flatiron,Manhattan,Manhattan
2019/3/21 18:41,2019/3/21 19:15,1,3.13,20.5,0,0,24.8,yellow,cash,Lenox Hill East,Garment District,Manhattan,Manhattan
2019/3/18 16:03,2019/3/18 16:10,2,1.13,6.5,2.16,0,12.96,yellow,credit card,Gramercy,Murray Hill,Manhattan,Manhattan
2019/3/25 22:50,2019/3/25 22:59,1,2.47,10,2.76,0,16.56,yellow,credit card,Garment District,Upper West Side South,Manhattan,Manhattan
